,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
11256,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11257,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11258,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11259,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11260,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11261,I Love America,(2022),16,['Comedy'],102,4.7,39,561
11262,Boyz in the Wood,(2019),R,"['Comedy', ' Horror', ' Music']",87,6.2,69,7785
11263,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11264,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11265,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11266,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11267,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11268,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11269,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11270,I Love America,(2022),16,['Comedy'],102,4.7,39,561
11271,Boyz in the Wood,(2019),R,"['Comedy', ' Horror', ' Music']",87,6.2,69,7785
11272,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11273,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11274,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11275,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11276,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11277,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11278,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11279,I Love America,(2022),16,['Comedy'],102,4.7,39,561
11280,Boyz in the Wood,(2019),R,"['Comedy', ' Horror', ' Music']",87,6.2,69,7785
11281,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11282,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11283,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11284,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11285,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11286,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11287,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11288,I Love America,(2022),16,['Comedy'],102,4.7,39,561
11289,Boyz in the Wood,(2019),R,"['Comedy', ' Horror', ' Music']",87,6.2,69,7785
